Address id,Street,city,state,pincode
310,sai nagar,maharastra,xy,517325
320,ram nagar,chennai,yz,617326
330,jyothi street,thanjavuru,za,618532
340,indira street,trivendram,ab,619654
350,chowdeswari street,kerala,bc,758632
360,mayabazar,kochi,cd,962548
370,nehru street,madhya pradesh,de,321987
380,mothi nagar,jharkhand,ef,567324
390,bestha street,delhi,fg,852369
400,ttd street,punjab,gh,753951
410,kummari street,manipur,hi,324896
420,bvr street,assam,jk,874563
430,rk nagar,meghalaya,kl,965412
